--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
out/ءابسح_208.jpg        	ءابسح                    	0.9995
out/ءابسنا_7.jpg         	ءابسنا                   	0.9983
out/ءاتف_148.jpg         	ءاتف                     	0.9991
out/ءاد_678.jpg          	ءاد                      	0.9997
out/ءادھ_694.jpg         	ءاد                      	0.9996
out/ءارب_58.jpg          	ءارب                     	0.9987
out/ءارھا_681.jpg        	ءارا                     	0.9985
out/ءاشج_588.jpg         	ءاشج                     	0.9892
out/ءاضملإا_717.jpg      	ءاضملإا                  	0.9875
out/ءاعفس_903.jpg        	ءاعفس                    	0.9961
out/ءاغثل_99.jpg         	ءاغثل                    	0.9979
out/ءاغصا_481.jpg        	ءاغصا                    	0.9992
out/ءاقرخ_503.jpg        	ءاقرخ                    	0.9991
out/ءاكذ_679.jpg         	ءاكذ                     	0.9993
out/ءامس_175.jpg         	ءامس                     	0.9997
out/ءامسلأا_190.jpg      	ءامسلأا                  	0.9980
out/ءامعز_43.jpg         	ءامعز                    	0.9974
out/ءامعز_534.jpg        	ءامعز                    	0.9984
out/ءانجھ_443.jpg        	ءانج                     	0.9979
out/ءانوھا_666.jpg       	ءانوا                    	0.9948
out/ءاوضا_178.jpg        	ءاوضا                    	0.9991
out/ءاوضا_416.jpg        	ءاوضا                    	0.9988
out/ءايربج_291.jpg       	ءايربج                   	0.9988
out/ءايشا_979.jpg        	ءايشا                    	0.9992
out/ءايوقا_619.jpg       	ءايوقا                   	0.9979
out/ءرب_787.jpg          	ءرب                      	0.9978
out/ءلاجن_83.jpg         	ءلاجن                    	0.9964
out/ءلاسر_777.jpg        	ءلاسر                    	0.9974
out/ءىطب_508.jpg         	ءىطب                     	0.9432
out/ءيفد_238.jpg         	ءيفد                     	0.9985
out/ءيق_552.jpg          	ءيق                      	0.9987
out/ابعك_403.jpg         	ابعك                     	0.9998
out/ابك_295.jpg          	ابك                      	0.9999
out/اجاوز_897.jpg        	اجاوز                    	0.9997
out/اذ_101.jpg           	اذ                       	0.9997
out/اذ_328.jpg           	اذ                       	0.9998
out/اذخأ_976.jpg         	اذخأ                     	0.9603
out/اذنأھ_711.jpg        	اذنأ                     	0.9984
out/اذھ_346.jpg          	اذ                       	0.9998
out/ارابداو_967.jpg      	ارابداو                  	0.9987
out/اراصتنا_430.jpg      	اراصتنا                  	0.9880
out/ارب_701.jpg          	ارب                      	0.9995
out/اردح_177.jpg         	اردح                     	0.9996
out/ازاجم_499.jpg        	ازاجم                    	0.9998
out/ازن_664.jpg          	ازن                      	0.9998
out/اسرد_940.jpg         	اسرد                     	0.9993
out/اسرد_973.jpg         	اسرد                     	0.9996
out/اشطعت_918.jpg        	اشطعت                    	0.9990
out/اصعلا_339.jpg        	اصعلا                    	0.9987
out/اضمغ_693.jpg         	اضمغ                     	0.9998
out/اعرسم_194.jpg        	اعرسم                    	0.9996
out/افر_814.jpg          	افر                      	0.9995
out/اما_767.jpg          	اما                      	0.9989
out/اماد_817.jpg         	اماد                     	0.9993
out/اماطح_411.jpg        	اماطح                    	0.9993
out/امكاح_488.jpg        	امكاح                    	0.9973
out/اميدق_850.jpg        	اميدق                    	0.9995
out/انحوي_687.jpg        	انحوي                    	0.9935
out/انعد_559.jpg         	انعد                     	0.9970
out/اورظناف_67.jpg       	اورظناف                  	0.9967
out/ايا_515.jpg          	ايا                      	0.9997
out/اياكت_264.jpg        	اياكت                    	0.9992
out/ايبول_710.jpg        	ايبول                    	0.9988
out/ايراطنسود_378.jpg    	ايراطنسود                	0.9856
out/ايزت_613.jpg         	ايزت                     	0.9993
out/ايسايق_438.jpg       	ايسايق                   	0.9972
out/ايسراھليب_673.jpg    	ايسراليب                 	0.9943
out/ايشام_485.jpg        	ايشام                    	0.9991
out/ايشخ_80.jpg          	ايشخ                     	0.9994
out/ايطنزيب_439.jpg      	ايطنزيب                  	0.9962
out/ايلارتسا_895.jpg     	ايلارتسا                 	0.9972
out/آش_114.jpg           	آش                       	0.9998
